EquType,Words
电梯,辽宁省 本溪市 小区 群众 被困 电梯 救援 人员 立即 赶到 现场 电梯 打开 救出 被困 人员
电梯,广东省 河源市 源城区 河源 大道 创业 大道 东 交汇处 小区 售楼部 电梯 突发 故障 致人 被困 小时 消防员 立即 前往 现场 分钟 救援 成功 救出 被困 人员
电梯,四川省 成都市 泰宏路 号 平福里 小区 居民 被困 电梯 半小时 物业
电梯,江西省 赣州市 大余县 小区 电梯 故障 被困 楼 电梯 电梯 技术人员 处置 近 小时 未能 救出 消防员 抵达 立即 利用 电动 剪 扩钳 撬棍 电梯门 进行 破 拆 成功 救出
压力容器,号 中午 青岛 胶州市 村民 家中 液化气罐 爆炸 造成 一人 重伤 房屋 炸毁 目前 受伤 人员 送往 医院 救治 事故 具体 原因 暂 明确
压力容器,广西 柳州市 三江 县 居民楼 煤气罐 爆炸 引发 火灾 致名 老人 受伤 救援 人员 立即 赶往 现场 多分钟 奋力抢救 成功 处置 险情
压力容器,湖北省 襄阳 枣阳市 太平镇 小区 居民楼 内因 煤气罐 老化 导致 失火 民警 迅速 赶到 现场 展开 扑救 成功 处置 险情
起重机械,陕西省 延安市 一在 建工 塔吊 施工 作业 时 发生 倒塌 事故 人员伤亡 具体 事故 原因 调查 中
电梯,安徽省 阜阳市 小区 电梯 故障 儿童 被困 两个 小时
压力容器,河北省 保定市 定兴县 沟头 村 居民 做饭 时 煤气罐 发生爆炸 三口 重度 烧伤 目前 烧伤 人员 送往 医院 救治
压力容器,福建省 莆田市 仙游县 鲤中 小吃店 疑似 发生 煤气 泄漏 致名 员工 中毒 事故 发生 公安 救护 人员 火速 赶往 现场 目前 中毒 人员 送医 救治
压力容器,河北省 张家口市 平 门路 高架桥 饭店 煤气 泄漏 引发 爆炸 幸无 人员伤亡 目前 相关 部门 正在 事故 做 进一步 调查 处理
起重机械,陕西省 延安市 万达 城 工地 塔吊 倒塌 具体 事故 原因 伤亡 情况不明
电梯,山西省 太原市 旱 西门 天马 名座 电梯 故障 女孩 被困 电梯 求助 电话 无人 接听 约 分钟 邻居 帮忙 报警 救援 人员 迅速 赶到 现场 成功 救出 被困 人员
起重机械,广西 柳州市 罗池路 金谷 立体 停车场 女子 停车 时 汽车 坠落 米 深 停车 起降 库 人员伤亡
起重机械,四川省 自贡市 富顺县 三道 桥 红绿灯 上行 米 建筑工地 发生 塔吊 倒塌 事故 致一死 重伤
压力容器,许 山西省 邵阳市 新邵县 一辆 装载 吨 汽油 油罐车 途经 杨潭 公路 寸 石镇 银录 村 山西 坳 陡坡 急弯 地段 时 不慎 侧翻 发生 泄漏 救援 人员 立即 赶往 现场 开展 救援 处置 工作 未 发生 人员伤亡 次生 事故
电梯,湖南省 长沙市 小区 被困 电梯 消防人员 救援 及时 未 造成 人员伤亡
压力容器,内蒙古 呼和浩特市 康居 家园 门口 烧烤 摊 煤气罐 起火 物业 人员 使用 消防栓 及时 火 扑灭 造成 火势 扩大
电梯,北京市 东城区 金宝街 向阳 门内 大街 号 西楼 女子 被困 电梯 消防员 迅速 赶往 现场 使用 电梯 钥匙 铁 铤 进行 电梯 破 拆 进过 分钟 救援 成功 救出 被困 人员
起重机械,河北省 唐山市 路南区 国际 石材 成 附近 施工现场 发生 工人 塔吊 坠落 事故 救援 人员 立即 赶赴现场 被困 工人 送 医院 救治
压力容器,内蒙古 包头市 青山区 育才 小区 三段 发生 燃气 轰燃致 一人 被困 救援 人员 赶赴现场 发现 液化气罐 正在 泄漏 消防员 关闭 阀门 液化气罐 放置 安全 区域 成功 救出 被困 人员
电梯,北京市 石景山区 现代 家园 号院 居民楼 两名 老人 孩子 被困 电梯 救援 人员 立即 赶赴现场 几秒钟 便 打开 电梯门 成功 救出 被困 人员
电梯,福建省 泉州 晋江市 龙湖 镇梧 坑村 大厦 电梯 突发 故障 三口 被困 救援 人员 赶到 现在 先 撬棍 电梯门 撬开 一条 缝 液压 扩张器 门缝 电梯门 撑开 成功 救出 被困 人员
电梯,湖南省 郴州市 香雪 路南 塔 公园 大门口 酒店 电梯 故障 男子 被困 救援 人员 迅速 前往 现场 十五分钟 救援 成功 救出 被困 人员
电梯,四川省 遂宁市 桃花 山 小区 老人 被困 电梯 消防队员 到达 现场 使用 液压 破 拆 工具 组 强行 破门 及时 老人 救出 交由 救护 人员 救治
电梯,河北省 衡水市 饶阳县 中 天 首府 小区 号楼 单元 电梯 突发 故障 致人 被困 救援 人员 立即 赶赴现场 利用 撬棍 轿厢 撬开 顺利 救出 被困 人员
起重机械,贵州省 铜仁市 石阡县 工地 工人 操作失误 导致 左手 手指 塔吊 滑轮 卡住 消防 部门 接警 赶来 近 小时 努力 成功 男子 救出 目前 伤者 正在 进行 后续 治疗
压力容器,许 安徽省 合肥市 巢湖市 夏阁 镇 尉桥 行政村 村民 家中 更换 煤气罐 时 发生爆炸 事故 造成 死伤
起重机械,吉林省 长春市 凯旋路 北四环 交会 万龙 国际 城 三期 一在 建工 塔吊 倒塌 目前 人员 受伤 情况 未知
起重机械,早晨 陕西省 渭南市 华州 区 城区 古城村 一辆 正在 起吊 吊车 突然 侧翻 导致 起吊 钢 铸铁 梁 下落 砸坏 围墙 搭建 几根 主体 目前 暂无 人员伤亡
电梯,浙江省 湖州市 德清县 武康 街道 千龙 名苑 小区 五幢 单元 母女 被困 电梯 救援 人员 立即 赶赴现场 仅用 分钟 便 被困 人员 安全 救出
压力容器,辽宁省 丹东市 振兴区 保利 期号 楼室 发生 煤气 爆炸 目前 现场 造成 死伤 初步查明 爆炸 该室 居民 发生 家庭 纠纷 矛盾激化 打开 煤气 引发 爆炸
电梯,江苏省 常州市 小区 女童 被困 电梯 民警 接到 报警 立即 赶赴现场 十分钟 安全 救出 女童
压力容器,江西省 南昌市 西湖区 绳 金塔 附近 小区 居民 家中 煤气罐 总 阀门 忘记 关闭 造成 煤气 泄漏 之后 点烟 引起 闪爆 致一 老人 受伤 目前 送往 医院 救治
电梯,中午 浙江省 金华 义乌市 稠江 街道 写字楼 突然 断电 导致 部 电梯 停止 运行 被困 消防人员 火速 赶赴现场 小时 紧张 救援 成功 救出 被困 人员 人员 受伤
压力容器,许 浙江省 金华 东阳市 甬金 高速 蔡宅 高速 金华 方向 三 公里 处 一辆 装有 吨 液化 天然气 槽罐车 前车 追尾 动力 罐 泄漏 消防 立即 赶到 现场 近个 小时 释放 清理 成功 处置 险情
电梯,晚 吉林省 延吉市 新兴 街 大厦 电梯 父子 被困 救援 人员 立即 赶到 现场 成功 救出 被困 人员
压力容器,广西 柳州市 三江 县 烧烤店 电路 问题 导致 煤气罐 起火 消防 及时 赶到 处置 人员 受伤
压力容器,辽宁省 沈阳市 和平区 砂山街 附近 小区 一楼 居民 家中 发生 煤气罐 爆炸 消防队员 立即 赶到 现场 进行 救援
压力容器,黑龙江省 哈尔滨市 道里区 抚安街 号 德里 小区 栋 一楼 系 液化 石油气 罐 发生 泄漏 引发 爆炸 致人 受伤 目前 事故 具体 原因 进 进一步 调查 中
电梯,安徽省 铜陵市 公寓 有人 被困 电梯 中 接警 救援 人员 迅速 赶到 现场 排除故障 恢复 电梯 供电 成功 被困 人员 救出
压力容器,安徽省 马鞍山市 马钢 化工 能源 科技 有限公司 硫铵 工段 生产 过程 中 发生 氨气 泄露 造成 中毒 目前 中毒 人员 送往 医院 死亡 室 抢救
电梯,许 浙江省 宁波市 奉化 区 溪口镇 某村 服装厂 电梯 吊线 突然 断裂 导致 电梯 坠落 被困 一人 受伤 救援 人员 立即 赶到 现场 近 分钟 紧急 救援 成功 救出 被困 人员 目前 受伤 人员 送往 医院 救治 生命危险
压力容器,吉林省 长春市 宽城区 团山 小区 栋 单元 居民 家中 疑似 煤气罐 爆炸 导致 起火 楼内 老人 被困 消防人员 立即 到达 现场 展开 救援 具体情况 进一步 确认 中
电梯,浙江省 金华市 义乌市 万达 写字楼 停电 导致 多人 被困 电梯 半小时
压力容器,青岛 市南区 太湖 路 八大 湖一 居民楼 号户 煤气罐 发生 泄漏 闪爆 致人 受伤 目前 受伤 人员 送 医院 诊治
压力容器,湖南省 怀化市 中方县 中方 公交公司 乘龙 修理厂 乙炔 罐 阀门 泄漏 救援 人员 赶赴现场 使用 水枪 乙炔 钢瓶 进行 冷却 降温 转移 空旷 地带 十多分钟 奋力 扑救 成功 排除 险情
起重机械,山西省 大同市 一在 建工 塔吊 顶升 作业 时 平衡 臂 发生 坠落 事故 人员伤亡 具体 事故 原因 调查 中
压力容器,许 河南省 信阳市 商城县 余 集镇 何冲村 居民 在家 使用 煤气灶 做饭 时因 煤气 泄露 导致 煤气罐 突然 着火 救援 人员 立即 赶往 现场 着火 煤气罐 转移 安全 区域 进行 关阀 灭火 冷却 成功 处置 险情
压力容器,浙江省 舟山市 岱山县 高亭 镇 顺福路 居民 家中 发生 煤气 瓶 泄漏 爆燃 事故 女子 受伤 目前 受伤 人员 送医 救治
压力容器,浙江省 湖州市 吴兴区 道场 乡 桃园路 沙县 小吃店 突发 煤气 泄漏 导致 店内 着火 煤气管 爆裂 危急 时刻 小伙 挺身而出 徒手 关紧 煤气 瓶 阀门 煤气 瓶 搬 空旷 地带 进行 降温
压力容器,安徽省 宿州市 灵璧县 居民 家中 煤气罐 突然 起火 消防员 立即 赶到 现场 徒手 拎 煤气罐 转移 空地 降温 成功 处置 险情
电梯,陕西省 西安市 未央区 珠江 新城 号楼 单元 电梯 故障 致两人 被困 半个 小时 小区 电梯 品牌 合同 不符 频频 出现 坠梯 关人 事故 希望 相关 部门 帮忙 解决
压力容器,晚 辽宁省 沈阳市 小区 疑似 发生 小吃 车 液化气罐 爆炸 引燃 附近 家用轿车 事故
电梯,海南省 三亚市 凤凰 路 小区 老人 被困 电梯 分钟 救援 人员 赶到 现场 使用 锁匙 开锁 时 发现 钥匙孔 生锈 无法 打开 撬开 电梯门 成功 救出 被困 人员
电梯,江西省 九江市 共青城 市 锦绣 年华 小区 居民 被困 电梯 中 救援 人员 赶到 现场 立即 电梯 钥匙 无法 打开 外层 保护 门 使用 撬棍 机动 破 拆 工具 进行 破 拆 不久 救出
电梯,潍坊市 坊子区 响 河子 社区 号楼 单元 电梯 故障 导致 夫妇 被困 分钟 救援 人员 立即 赶到 现场 展开 救援 成功 救出 被困 人员
压力容器,许 浙江省 台州 温岭市 沈海 高速 浙江 温岭 出口处 一辆 宁波 开往 温州 液化 石油气 槽罐车 发生爆炸 初步 勘察 事故 车辆 高速公路 走 国道 时 匝道 发生爆炸 冲出 高速 该起 爆炸 事故 造成 周边 房屋 车辆 严重 损毁 事故 共 造成 死亡 受伤 现场 大规模 搜救 工作 结束 后续 搜救 各项 善后工作 正在 有序 进行 中
电梯,河北省 邯郸市 乘客 乘坐 电梯 时 电梯 突然 下坠
压力容器,江苏省 连云港市 高新区 旺旺 家缘 小区 南门 附近 门面房 液化气罐 突发 着火 消防人员 立即 赶往 现场 徒手 拎 出 液化气罐 排除 险情
压力容器,江苏省 徐州 邳州市 赵墩 镇 河湾 村 二队 农户家 中 煤气 泄漏 爆炸 具体 事故 原因 人员伤亡 情况 暂 明确
电梯,青海省 果洛 州 达日县 吉迈镇 电梯 故障 致两人 被困 救援 人员 赶赴现场 利用 电动 扩张 钳 楼 电梯门 扩开 被困 人员 救出
电梯,宁夏 固原市 商场 一位 老人 乘坐 扶梯 时 踩得 太靠 前 电梯 上升时 脚 夹 两个 台阶 之间 身体 失去平衡 后仰 摔倒 电梯 失去 意识 女子 看到 老人 扶 避免 更 事故 发生
电梯,江西省 上饶市 玉山县 小区 停电 导致 学生 被困 电梯 分钟 消防 及时 赶到 成功 救出 被困 人员
电梯,安徽省 宿州市 泗县 小区 电梯 故障 十岁 小女孩 被困 消防队员 赶到 成功 被困 儿童 救出
起重机械,江苏省 苏州市 吴中区 甪 直镇 吊车 作业 时 发生 倒塌 目前 具体 事故 原因 正在 调查 中
压力容器,日点 多钟 安徽省 铜陵市 枞阳县 浮山 中 学校 附近 居民 家中 疑因 液化气 泄漏 导致 煤气罐 爆炸 造成 受伤 事情 具体 原因 正在 调查 中
电梯,江苏省 南京市 江北 新区 商场 突遇 停电 导致 两名 老人 被困 电梯 民警 迅速 赶往 现场 成功 救出 被困 人员
起重机械,辽宁省 沈阳市 一在 建工 塔吊 施工 作业 时 发生 倒塌 事故 人员伤亡 具体 事故 原因 调查 中
电梯,河北省 廊坊市 广阳区 金星 道 中段 港升 美丽 园 小区 电梯 故障 发生 骤停 致三人 被困 救援 人员 赶到 现场 分钟 紧急 救援 成功 被困 人员 救出 河北省 廊坊市 永清县 德仁佳苑 小区 号楼 单元 电梯 发生 故障 一人 被困 消防 赶赴现场 采用 电梯 钥匙 开锁 徒手 扒开 电梯门 救出 被困 人员
起重机械,广西 梧州市 龙 圩区 新地 镇 新 铺 公销社 门口 路段 一大 货车 时撞 正在 作业 吊车 导致 货车 车头 铲平 人员伤亡
起重机械,浙江省 台州市 三门县 健跳镇 浙江 新洲 造船 股份 有限公司 一部 重型 龙门吊 作业 时 突遇 狂风 导致 龙门吊 驾驶员 坠海 目前 驾驶员 紧急 送往 医院 脱离 生命危险
电梯,云南省 大理州 南涧县 集腾誉 城栋 电力 抢修 电路 提前 通知 造成 电梯 突然 停运 卡 楼 楼 中间 有名 群众 被困 救援 人员 立即 赶赴现场 半个 小时 努力 成功 救出 被困 人员
电梯,辽宁省 大连市 福佳 新天地 购物广场 电梯 故障 下坠 人员 被困
压力容器,吉林省 通化市 实验 中学 对面 风水 店内 突发 煤气罐 爆炸 致人 受伤 消防 赶到 现场 火 扑灭 目前 伤者 送医 救治
压力容器,辽宁省 葫芦岛市 南票区 高桥镇 路段 罐车 发生 泄露
电梯,陕西省 宝鸡市 岐山县 蔡家坡 镇 新雅 居 小区 业主 用电 不当 造成 变压 室 临时 跳闸 导致 电梯 停运 被困 电梯 长 达 余分钟 消防队 到达 现场 成功 救出 被困 人员
起重机械,北京市 东城区 永铁苑 小区 南侧 铁路线 绿地 吊车 施工 时 发生 侧翻 事故
压力容器,淄博市 张店区 集装箱 板房 疑似 煤气罐 发生爆炸 未 造成 伤亡事故 原因 正在 进一步 调查
电梯,重庆市 渝北区 黄泥 磅 御 景天 成栋 业主 被困 电梯 分钟 联系 物业 人员 物业 人员 积极 营救 工作人员 赶到 现场 强行 断电 救出 被困 人员
电梯,湖南省 郴州市 幼儿园 电梯 停电 致人 被困 消防 紧急 营救 仅用 分钟 成功 救出 被困 人员
电梯,河南省 郑州市 民航 花园 小区 女士 被困 电梯 半小时 物业 电话 不通 报警器 不起作用 邻居 帮忙 救援 人员 赶到 现场 救出 被困 人员
起重机械,山西省 临汾市 四季 花都 工地 吊车 倒塌 砸 中 塔吊 具体 事故 原因 不明
电梯,安徽省 马鞍山市 当涂县 一小 区内 有人 被困 电梯 民警 立即 赶至 现场 成功 救出 被困 人员
电梯,四川省 泸州市 江阳区 大山 坪 场馆 群众 掉 进 电梯 井内 消防员 立即 前往 分钟 紧张 救援 被困 人员 电梯 井底 部 成功 救出 移交 现场 医护人员
起重机械,四川省 遂宁市 健坤城 吊车 拆 高炮 时 高炮 吊倒
电梯,浙江省 杭州市 富阳 区中 水花 苑 电梯 故障 有人 被困 救援 人员 立即 赶赴现场 使用 撬棍 电梯 钥匙 配合 电梯门 破 拆 成功 救出 被困 人员
压力容器,安徽省 毫州市 蒙城县 岳坊 镇前 李庄 民房 烧水 时 忘记 关火 引发 火灾 导致 煤气罐 泄漏 消防 部门 迅速 赶赴现场 使用 水枪 煤气罐 进行 冷却 近 分钟 紧张 扑救 明火 扑灭 未 造成 人员伤亡
压力容器,广西 桂林市 资源 县 合浦 街 东兴 公寓 居民 家中 疑似 煤气 爆炸 发生 火灾 致一人 烧伤 目前 伤者 送往 医院 救治 具体 事故 原因 正在 调查 中
压力容器,济南市 章丘 区 山泉 南路 牛排 店 发生 液化气 爆燃 事故 事故 发生 相关 部门 立即 赶到 现场 进行 处理 事故 未 造成 人员伤亡 原因 正 进一步 调查 中
电梯,上海市 嘉定区 江桥 镇嘉怡路 商场 突然 断电 导致 电梯 停运 被困 救援 人员 赶到 现场 电梯 钥匙 电梯门 打开 成功 救出 被困 人员
电梯,陕西省 西安市 小区 号楼 二 单元 南侧 电梯 发生 故障 从楼 坠落 小区 发生 故障 目前 维保 公司 正在 调查 原因
压力容器,湖南省 永州市 新田县 路段 枧 头 镇 毛里 路段 处 一辆 满载 吨 油罐车 公路 转弯处 发生 侧翻 出现 泄漏 消防人员 小时 成功 处置 险情
压力容器,河南省 信阳市 潢川县 三环路 航空 路 交叉口 早餐 店因 忘记 关 煤气罐 阀门 导致 煤气罐 着火 救援 人员 赶往 现场 先 用水 枪 罐体 进行 降温 湿布 着火 部位 扑灭 煤气罐 移 室外 处置 完毕 人员伤亡
电梯,福建省 泉州市 丰泽 城 东城 华南 路 中段 小区 电梯 突然 卡在楼 导致 被困 近 半小时 消防人员 立即 赶到 救出 被困 人员
电梯,晚 黑龙江省 哈尔滨市 香坊区 公滨路 附近 多个 小区 停电 多部 电梯 出现 困 事件 救援 人员 立即 赶到 现场 成功 救出 被困 人员
电梯,安徽省 六安市 中医院 新盖 楼房 电梯 出现 故障 下坠 致人 被困 救援 人员 赶到 现场 成功 救出 被困 人员
电梯,江苏省 苏州市 商场 儿童 乘坐 自动扶梯 时 手指 卡断 救援 人员 赶到 现场 紧急 拆开 电梯 男孩 送往 医院 目前 男孩 手指 成功 接续
电梯,晚 广东省 茂名市 电白县 居民小区 电梯 突发 故障 导致 儿童 被困 电梯 分钟 小区 电梯 出现 困 事故
电梯,晚 四川省 攀枝花市 东区 遭遇 雷电 天气 居民小区 突发 停电 导致 电梯 停运 三人 被困 救援 人员 立即 赶到 现场 成功 救出 被困 人员
起重机械,广东省 茂名市 在建 楼盘 塔吊 施工 作业 时大臂 几十米 高 空中 折断 砸 中 施工 楼盘 顶部 暂无 人员伤亡
电梯,河北省 石家庄市 建设 大街 裕华 路 交叉口 中天世 小区 号楼 单元 疑因 小区 停电 导致 被困 电梯 火警 立即 赶到 现场 成功 救出 被困 人员
起重机械,重庆市 沙坪坝区 双碑 工地 一塔 吊吊 运 钢管 突然 坠落 砸 中名 工人 目前 受伤 人员 紧急 送到 医院 救治 生死 不明 具体 事故 原因 调查
压力容器,安徽省 合肥市 肥西县 上派 镇华帝 翡翠 蓝湾 畅园 门口 油罐车 着火 救援 人员 立即 前往 使用 泡沫 枪 油罐车 引燃 小轿车 进行 灭火 点分 三辆 车 明火 扑灭 事故 造成 人员伤亡 具体 原因 正在 调查 中
电梯,四川省 绵阳市 花园 小区 装修 人员 不慎 弄断 电线 导致 电梯 停运 致一人 被困 救援 人员 立即 赶到 现场 利用 工具 打开 电梯 成功 被困 人员 救出
